gender,metric,months,median,source
Nam,HFA,85,122.2,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,86,122.7,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,87,123.1,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,88,123.6,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,89,124.1,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,90,124.5,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,91,125,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,92,125.5,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,93,125.9,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,94,126.4,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,95,126.8,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,96,127.3,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,97,127.7,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,98,128.2,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,99,128.6,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,100,129,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,101,129.5,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,102,129.9,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,103,130.4,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,104,130.8,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,105,131.2,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,106,131.7,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,107,132.1,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,108,132.6,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,109,133,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,110,133.4,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,111,133.9,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,112,134.3,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,113,134.7,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,114,135.2,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,115,135.6,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,116,136.1,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,117,136.5,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,118,136.9,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,119,137.3,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,120,137.8,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,121,138.2,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,122,138.6,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,123,139.1,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,124,139.5,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,125,140,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,126,140.4,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,127,140.8,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,128,141.3,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,129,141.7,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,130,142.2,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,131,142.7,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,132,143.1,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,133,143.6,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,134,144.1,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,135,144.5,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,136,145,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,137,145.5,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,138,146,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,139,146.5,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,140,147,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,141,147.5,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,142,148,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,143,148.5,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,144,149.1,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,145,149.6,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,146,150.2,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,147,150.7,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,148,151.3,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,149,151.9,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,150,152.4,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,151,153,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,152,153.6,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,153,154.2,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,154,154.8,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,155,155.4,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,156,156,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,157,156.7,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,158,157.3,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,159,157.9,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,160,158.5,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,161,159.1,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,162,159.7,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,163,160.3,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,164,160.9,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,165,161.5,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,166,162.1,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,167,162.6,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,168,163.2,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,169,163.7,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,170,164.3,WHO Growth Reference 2007 (61-228 thang)
Nam,HFA,171,164.8,WHO Growth Reference 2007 (61-228 thang)
